X,Y,ID,CD_GEOCODI,NM_BAIRRO,NM_MUNICIP,SC_IVS e12,icon_url
-51.6951804974531,-24.5616146992238,"14350","411450005000022",,MANOEL RIBAS,0.367503287033894,
-51.6643786806323,-24.5152246779504,"14351","411450005000023",,MANOEL RIBAS,0.410347370402426,
-51.6618892125648,-24.5266771981582,"14352","411450005000024",,MANOEL RIBAS,0.400840315094308,
-51.7891604486439,-24.4792800551804,"14353","411450010000001",,MANOEL RIBAS,0.355448106648643,
-51.8031525111251,-24.4414343921771,"14354","411450010000002",,MANOEL RIBAS,0.415748666694680,
-51.7486959878436,-24.4320642987391,"14355","411450010000003",,MANOEL RIBAS,0.419694331482174,
-51.7580987552003,-24.4843634089163,"14356","411450010000004",,MANOEL RIBAS,0.443289130445742,
-54.0632987596343,-24.5579945840716,"14361","411460905000005",CENTRO,MARECHAL CÂNDIDO RONDON,0.408202556084756,
-54.0535110530887,-24.5556260044339,"14364","411460905000008",CENTRO,MARECHAL CÂNDIDO RONDON,0.492235760273759,
-54.0462229336634,-24.5720908316904,"14368","411460905000012",SÃO LUCAS,MARECHAL CÂNDIDO RONDON,0.442576364955465,
-54.0665468835757,-24.5636725757058,"14371","411460905000015",CENTRO,MARECHAL CÂNDIDO RONDON,0.500835290652315,
-54.0433487294454,-24.5376325376986,"14380","411460905000024",PRIMAVERA,MARECHAL CÂNDIDO RONDON,0.512172938186252,
-54.0444401099479,-24.5538456812061,"14383","411460905000027",LÍDER,MARECHAL CÂNDIDO RONDON,0.491209041077686,
-54.0423334842606,-24.5452521943463,"14388","411460905000032",PRIMAVERA,MARECHAL CÂNDIDO RONDON,0.514419277128092,
-54.0422918815374,-24.5315424498883,"14392","411460905000036",,MARECHAL CÂNDIDO RONDON,0.411616571783186,
-54.0754013178556,-24.5809328314081,"14393","411460905000037",,MARECHAL CÂNDIDO RONDON,0.416554295791584,
-54.1066252098476,-24.5433713174655,"14394","411460905000038",,MARECHAL CÂNDIDO RONDON,0.351294492481707,
-54.1347389674252,-24.5919210823821,"14395","411460905000039",,MARECHAL CÂNDIDO RONDON,0.405734779141295,
-54.069329749179,-24.5595349591662,"14397","411460905000041",VILA GAÚCHA,MARECHAL CÂNDIDO RONDON,0.420379818995373,
-54.0326095098004,-24.5638109883484,"14402","411460905000046",SÃO FRANCISCO,MARECHAL CÂNDIDO RONDON,0.498578972775539,
-54.0565668103553,-24.5661189317793,"14404","411460905000048",CENTRO,MARECHAL CÂNDIDO RONDON,0.514737813186034,
-54.0553255032627,-24.5446022357882,"14407","411460905000051",ALVORADA,MARECHAL CÂNDIDO RONDON,0.398786391318087,
-54.0537924428883,-24.5372596764042,"14411","411460905000055",BOTAFOGO,MARECHAL CÂNDIDO RONDON,0.511110535135767,
-54.0533570551182,-24.5340686534861,"14412","411460905000056",BOTAFOGO,MARECHAL CÂNDIDO RONDON,0.360315948362699,
-54.0469208315738,-24.536740316449,"14413","411460905000057",HIGIENÓPOLIS,MARECHAL CÂNDIDO RONDON,0.433729467710127,
